"School 
Year","LEA 
Code","LEA 
Name","School 
Code","School 
Name","Charter 
School","Current 
Grades","Direct 
Certification","Community 
Eligibility","Total 
Enrollment","# Identified 
Students",Multiplier,"# Low 
Income 
Students","% Low 
Income 
Students","School 
Served","Eligibility 
Program 
Model","Eligibility 
Justification","Program 
Justification","# Students 
Served TAS","Grades 
Served 
TAS","Served 
1st Year","Served 1st 
Year Comment"
2020-2021,00A,North Carolina Cyber Academy,00A000,North Carolina Cyber Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,2252,N/A,N/A,1092,48.49,Y,SW-SW,,,,,2015-2016,
2020-2021,00B,NC Virtual Academy,00B000,NC Virtual Academy,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,N,2906,1477,1.6,2363,81.31,Y,SW-SW,,,,,2015-2016,
2020-2021,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,N,"09,10,11,12,13,XG",N,N,227,N/A,N/A,94,41.41,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010304,Alexander Wilson Elementary,N,"PK,0K,01,02,03,04,05",N,N,629,N/A,N/A,304,48.33,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010308,Altamahaw-Ossipee Elementary,N,"0K,01,02,03,04,05",N,N,639,N/A,N/A,288,45.07,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010310,Broadview Middle,N,"06,07,08",N,Y,758,419,1.6,670,88.39,Y,SW-SW,,,,,2006-2007,
2020-2021,010,Alamance-Burlington Schools,010311,Career and Technical Education Center,N,"09,10,11,12",N,N,0,N/A,N/A,0,0,N,Not Title I,,,,,,
2020-2021,010,Alamance-Burlington Schools,010312,Highland Elementary,N,"0K,01,02,03,04,05",N,N,665,N/A,N/A,224,33.68,N,Not Title I,,,,,,
2020-2021,010,Alamance-Burlington Schools,010320,E M Yoder Elementary,N,"PK,0K,01,02,03,04,05",N,N,382,N/A,N/A,165,43.19,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010324,Eastern Alamance High,N,"09,10,11,12,XG",N,N,1158,N/A,N/A,439,37.91,N,TAS,,,,,,
2020-2021,010,Alamance-Burlington Schools,010326,Eastlawn Elementary,N,"PK,0K,01,02,03,04,05",N,Y,638,389,1.6,622,97.49,Y,SW-SW,,,,,2002-2003,
2020-2021,010,Alamance-Burlington Schools,010328,Edwin M Holt Elementary,N,"0K,01,02,03,04,05",N,N,607,N/A,N/A,206,33.94,N,Not Title I,,,,,,
2020-2021,010,Alamance-Burlington Schools,010340,Elon Elementary,N,"0K,01,02,03,04,05",N,N,749,N/A,N/A,342,45.66,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010346,B. Everett Jordan Elementary,N,"0K,01,02,03,04,05",N,N,370,N/A,N/A,207,55.95,Y,SW-SW,,,,,2006-2007,
2020-2021,010,Alamance-Burlington Schools,010347,Audrey W. Garrett Elementary,N,"PK,0K,01,02,03,04,05",N,N,616,N/A,N/A,325,52.76,Y,SW-SW,,,,,2014-2015,
2020-2021,010,Alamance-Burlington Schools,010348,Graham High,N,"09,10,11,12,XG",N,N,793,N/A,N/A,599,75.54,N,SW,,,,,,
2020-2021,010,Alamance-Burlington Schools,010350,Graham Middle,N,"06,07,08",N,Y,706,375,1.6,600,84.99,Y,SW-SW,,,,,2007-2008,
2020-2021,010,Alamance-Burlington Schools,010351,Grove Park Elementary,N,"PK,0K,01,02,03,04,05",N,Y,482,292,1.6,467,96.89,Y,SW-SW,,,,,2004-2005,
